"描述	",,主机名（应用名，带-h表示有灰度）,是否已经打包镜像,备注
,,,,
"ftp							",,"	sftpw-xxx",,
"转发接口					",,"	transferconfig-if",是,
"广告接口					",,"	adsys-if				-h",是,
"应用商店接口				",,"	appstore-if			-h",,
"基础数据接口				",,"	basicdata-if			-h",是,
"畅言代理服务器				",,"	bizproxy-if			-h",,
"cms接口						",,"sif-cms-if					-h",是,
"评论接口					",,"	cmt-if					-h",,
"管理中心接口				",,"	managementcenter-if	-h",是,
"消息推送					",,"	msgpush-if				-h",,
"ios消息推送					",,"sif-msgpushios-if			-h",,
"社交系统					",,"	sns-if					-h",,
"用户系统接口				",,"	usersys-if				-h",是,
"投票抽奖等接口服务器		",,"	vote-if				-h",,
"评论灌水					",,"	cmtirr-if",,
"核销接口					",,"	cvs-if",,
"数据分析接口				",,"	dataanalysis-if",,
"计费网关接口				",,"	feecomputing-if",,
"计费网关检查				",,"	feecomputingcheck-if",,
"嘿快短链接					",,"	hkdlj-if",,
"lbs位置服务接口				",,"lbs-if",,
"消息推送手机获取消息数量接口系统:		",,"	sif-msgpushphone-if",,
"消息组播队列				",,"	msgqueue-if",,
"消息广播队列				",,"	msgqueueall-if",,
"消息订阅					",,"	msgssc-if",,
"运维告警					",,"	oms-if",,
"操作日志接口				",,"	operatelog-if",是,
"手机端网页统计代理			",,"	pageproxy-if",,
"支付宝微信回调				",,"	paycall-if",,
"response					",,"	response-if",,
"短信网关队列接口			",,"	smgw-if",,
"南岸项目					",,"	spg-if",,
"任天行系统					",,"	syrag-if",,
"trap数据车辆系统			",,"	trainsite-if",,
"手机端升级接口				",,"	updatesrv-if",,
"sif-userps					",,"	userps-if",,
"trap数据用户系统			",,"	usersite-if",,
"投票抽奖等代理服务器		",,"	voteproxy-if",,
"微信连wifi					",,"	wxserver-if",,
"					        ",,,,
"					        ",,,,
"							",,adsys-ui,,
"							",,alarmmsg-ui,,
"							",,appstore-ui,,
"							",,basicdata-ui,,
"							",,cms-ui,,
"							",,cmt-ui,,
"							",,cvs-ui,,
"							",,dataanalysis-ui,,
"							",,ecommerce-ui,,
"							",,feecomputing-ui,,
"							",,hkdata-ui,,
"							",,managementcenter-ui,是,
"							",,merchantexchange-ui,,
"							",,msgpush-ui,,
"							",,oms-ui,,
"							",,operatelog-ui,,
"							",,pclogin-ui,,
"							",,smgw-ui,,
"							",,sns-ui,,
"							",,transferconfig-ui,是,
"							",,updatesrv-ui,,
"							",,usersys-ui,是,
